,importance
weight_loss_pct,0.1411857712852321
night_sweats_severity,0.1410048764102139
access_to_care_score,0.13351709788119462
housing_stability,0.10160254633005791
joint_pain_severity,0.09523537554559684
social_support_score,0.07484480260383465
distance_to_clinic_mi,0.07233257493274055
symptom_duration_weeks,0.05030040078568948
fever_severity,0.04079415809009452
chest_pain_severity,0.039722395554421266
cough_severity,0.03695900121423246
fatigue_severity,0.036860550072814385
employment_status_employed_ft,0.009813305714454833
income_bracket_75k+,0.005256565980725601
income_bracket_<25k,0.0035987639654505932
insurance_status_private,0.0035212787411092656
insurance_status_uninsured,0.002510594292228864
rash_present,0.0018984981799205515
education_level_bachelors_plus,0.0012137391415857066
income_bracket_25-50k,0.0011974763497499597
employment_status_employed_pt,0.001084240167683534
education_level_some_college,0.0010452050095269127
insurance_status_medicaid,0.0010302281015719906
employment_status_unemployed,0.0010120028221092703
education_level_<hs,0.0006213758262982068
education_level_hs,0.0005426229495052053
income_bracket_50-75k,0.00042546636966026924
disseminated_disease,0.0002632717309874011
employment_status_disabled,0.00021590735585946052
employment_status_retired,0.00020473434306728818
insurance_status_medicare,0.0001851722523825145
